RecipeID,TagID
536066,1
536066,2
536066,22
536066,4
536066,66
536066,23
536070,0
536070,1
536070,2
536070,3
536070,4
536070,58
536070,47
536070,116
536070,34
536070,56
536070,149
536070,150
536086,1
536086,3
536086,22
536086,4
536086,48
536086,23
536086,34
536086,35
536086,67
536086,68
536086,36
536086,21
536086,151
536060,28
536060,1
536060,3
536060,22
536060,4
536060,93
536060,63
536060,94
536060,27
536060,125
536060,146
536060,101
536063,0
536063,1
536063,2
536063,22
536063,4
536063,25
536063,52
536063,27
536063,23
536063,34
536063,35
536063,36
536051,1
536051,2
536051,22
536051,4
536051,152
536051,5
536051,44
536051,34
536051,68
536051,36
536051,21
536044,28
536044,1
536044,2
536044,22
536044,4
536044,29
536044,30
536044,27
536044,31
536044,120
536044,20
536044,101
536012,1
536012,3
536012,4
536012,122
536012,54
536012,21
536013,3
536013,4
536013,29
536013,6
536013,7
536013,9
536013,20
536011,0
536011,1
536011,2
536011,4
536011,44
536011,79
535958,80
535958,1
535958,2
535958,4
535958,44
535952,28
535952,1
535952,2
535952,4
535952,58
535952,25
535952,81
535952,27
535952,82
535952,153
535952,34
535952,83
535952,84
535952,154
535952,36
535952,101
535907,80
535907,1
535907,3
535907,4
535907,10
535907,58
535907,63
535907,82
535907,124
535907,125
535907,34
535907,104
535907,83
535907,84
535907,67
535907,68
535907,36
535907,126
535907,18
535899,0
535899,1
535899,2
535899,4
535899,155
535899,51
535899,34
535899,35
535899,36
535874,1
535874,2
535874,4
535874,156
535874,12
535874,157
535874,21
535852,1
535852,3
535852,4
535852,10
535852,29
535852,48
535852,113
535852,114
535852,34
535852,18
535852,19
535852,20
535852,21
535853,1
535853,2
535853,4
535853,29
535853,32
535853,58
535853,25
535853,73
535853,47
535853,27
535853,82
535853,34
535853,83
535853,84
535853,36
535853,20
535853,21
535829,1
535829,2
535829,3
535829,4
535829,12
535829,116
535829,15
535829,118
535829,129
535829,21
535831,80
535831,1
535831,2
535831,3
535831,4
535831,58
535831,44
535831,6
535831,82
535831,7
535831,34
535831,83
535831,67
535831,85
535831,36
535831,9
535830,2
535830,3
535830,12
535830,116
535830,15
535830,118
535830,119
535781,1
535781,2
535781,3
535781,4
535781,156
535781,12
535781,116
535781,157
535781,149
535781,158
535781,21
535784,1
535784,2
535784,4
535784,44
535784,21
535782,1
535782,2
535782,4
535782,12
535782,15
535782,21
535782,159
535786,1
535786,2
535786,3
535786,4
535786,156
535786,160
535786,12
535786,48
535786,161
535786,162
535786,21
535783,0
535783,1
535783,3
535783,4
535783,130
535783,74
535783,48
535783,75
535783,9
535783,148
535783,163
535779,0
535779,1
535779,2
535779,3
535779,4
535779,11
535779,73
535779,63
535779,48
535779,64
535779,65
535779,164
535779,20
535779,165
535724,3
535724,10
535724,130
535724,38
535724,9
535723,1
535723,3
535723,4
535723,6
535723,166
535723,48
535723,7
535723,9
535723,54
535723,21
535722,0
535722,1
535722,2
535722,4
535722,44
535722,34
535722,35
535722,68
535722,36
535722,78
535713,28
535713,1
535713,2
535713,4
535713,11
535713,102
535713,20
535673,0
535673,1
535673,2
535673,22
535673,4
535673,43
535673,44
535673,90
535691,1
535691,2
535691,4
535691,156
535691,12
535691,157
535691,21
535684,1
535684,2
535684,4
535684,58
535684,12
535684,15
535684,34
535684,21
535690,1
535690,2
535690,4
535690,12
535690,57
535690,167
535690,21
535666,28
535666,1
535666,2
535666,4
535666,29
535666,109
535666,47
535666,34
535666,68
535666,36
535666,20
535651,1
535651,2
535651,22
535651,4
535651,32
535651,58
535651,25
535651,168
535651,81
535651,90
535651,59
535651,27
535651,82
535651,34
535651,83
535651,84
535651,67
535651,68
535651,36
535651,101
535650,1
535650,3
535650,22
535650,4
535650,48
535650,90
535650,27
535650,101
535650,21
535653,1
535653,3
535653,22
535653,4
535653,63
535653,90
535653,125
535653,21
535652,1
535652,2
535652,3
535652,22
535652,4
535652,32
535652,58
535652,168
535652,81
535652,116
535652,90
535652,27
535652,82
535652,169
535652,34
535652,35
535652,83
535652,84
535652,67
535652,85
535652,36
535652,101
535652,21
535644,1
535644,2
535644,4
535644,12
535644,139
535644,21
535627,0
535627,1
535627,2
535627,3
535627,4
535627,44
535627,6
535627,166
535627,45
535627,9
535627,54
535602,80
535602,1
535602,2
535602,3
535602,4
535602,29
535602,44
535602,63
535602,27
535602,34
535602,67
535602,68
535602,36
535602,20
535602,101
535581,80
535581,1
535581,3
535581,4
535581,63
535581,125
535570,80
535570,1
535570,2
535570,4
535570,43
535570,44
535570,145
535584,1
535584,3
535584,4
535584,130
535584,34
535584,68
535584,36
535584,9
535584,148
535584,21
535571,1
535571,3
535571,4
535571,29
535571,110
535571,9
535571,20
535571,21
535557,0
535557,1
535557,2
535557,4
535557,44
535555,0
535555,1
535555,3
535555,22
535555,4
535555,109
535555,130
535555,90
535555,34
535555,67
535555,68
535555,170
535555,36
535555,9
535518,0
535518,1
535518,2
535518,4
535518,29
535518,51
535518,20
535431,1
535431,2
535431,4
535431,52
535431,34
535431,98
535431,100
535431,21
535389,0
535389,1
535389,22
535389,4
535389,29
535389,111
535389,171
535389,20
535375,0
535375,1
535375,2
535375,3
535375,4
535375,102
535375,92
535375,48
535371,0
535371,1
535371,2
535371,4
535371,51
535371,52
535371,34
535371,172
535371,108
535341,0
535341,1
535341,2
535341,3
535341,22
535341,4
535341,44
535341,74
535341,110
535341,111
535341,171
535341,34
535341,68
535341,36
535341,9
535341,21
535337,1
535337,2
535337,4
535337,32
535337,12
535337,34
535337,35
535337,36
535337,21
535327,80
535327,1
535327,2
535327,4
535327,29
535327,109
535327,44
535327,27
535327,34
535327,68
535327,36
535327,20
535327,101
535321,80
535321,1
535321,2
535321,3
535321,4
535321,10
535321,5
535321,6
535321,7
535321,173
535321,104
535321,8
535321,9
535321,18
535321,134
535320,80
535320,1
535320,2
535320,3
535320,22
535320,4
535320,44
535320,6
535320,111
535320,174
535320,7
535320,9
535318,0
535318,1
535318,2
535318,3
535318,4
535318,25
535318,44
535318,130
535318,27
535318,34
535318,99
535318,68
535318,100
535318,36
535318,9
535318,175
535319,2
535319,3
535319,22
535319,44
535319,130
535319,131
535319,176
535319,177
535319,9
535317,0
535317,1
535317,2
535317,4
535317,58
535317,155
535317,51
535317,34
535317,42
535317,178
535312,0
535312,1
535312,2
535312,4
535312,12
535312,15
535314,80
535314,1
535314,2
535314,3
535314,4
535314,44
535314,48
535314,79
535314,179
535315,0
535315,1
535315,2
535315,3
535315,4
535315,58
535315,5
535315,74
535315,48
535315,75
535315,34
535315,8
535315,115
535299,1
535299,2
535299,3
535299,22
535299,4
535299,44
535299,122
535299,23
535299,180
535299,54
535299,21
535300,28
535300,1
535300,2
535300,3
535300,4
535300,10
535300,44
535300,63
535300,64
535300,104
535300,65
535300,18
535288,1
535288,2
535288,4
535288,12
535288,59
535288,15
535282,28
535282,1
535282,2
535282,4
535282,25
535282,52
535282,27
535282,101
535290,2
535290,12
535290,15
535269,1
535269,3
535269,4
535269,130
535269,59
535269,34
535269,67
535269,68
535269,36
535269,9
535269,175
535270,80
535270,1
535270,3
535270,4
535270,29
535270,110
535270,9
535270,20
535267,28
535267,1
535267,2
535267,4
535267,29
535267,25
535267,168
535267,81
535267,27
535267,34
535267,68
535267,181
535267,36
535267,20
535267,101
535229,28
535229,1
535229,2
535229,4
535229,30
535229,31
535233,28
535233,1
535233,2
535233,4
535233,30
535233,31
535230,28
535230,1
535230,2
535230,4
535230,30
535230,27
535230,31
535230,101
535190,2
535190,12
535120,140
535120,1
535120,4
535120,10
535120,27
535120,34
535120,21
535120,89
535102,2
535102,58
535102,12
535102,34
535108,1
535108,3
535108,4
535108,6
535108,7
535108,9
535108,21
535104,28
535104,1
535104,2
535104,4
535104,11
535104,32
535104,12
535104,34
535104,36
535104,20
535072,80
535072,1
535072,3
535072,4
535072,58
535072,122
535072,6
535072,7
535072,34
535072,84
535072,67
535072,36
535072,9
535072,54
535021,80
535021,1
535021,2
535021,4
535021,73
535020,80
535020,1
535020,2
535020,4
535020,73
534998,0
534998,1
534998,3
534998,4
534998,6
534998,166
534998,27
534998,7
534998,9
534998,54
534998,101
534955,1
534955,2
534955,3
534955,4
534955,182
534955,12
534955,116
534955,15
534955,183
534955,118
534955,119
534955,21
534954,2
534954,3
534954,22
534954,4
534954,11
534954,12
534954,184
534954,23
534954,57
534954,185
534954,167
534954,34
534954,35
534954,36
534954,20
534956,2
534956,12
534956,15
534956,186
534957,1
534957,2
534957,3
534957,4
534957,32
534957,12
534957,15
534957,185
534957,34
534957,35
534957,36
534957,21
534953,0
534953,1
534953,2
534953,4
534953,156
534953,12
534953,57
534953,157
534953,187
534945,0
534945,1
534945,2
534945,3
534945,22
534945,4
534945,44
534945,74
534945,90
534945,27
534945,79
534945,75
534900,0
534900,1
534900,3
534900,4
534900,10
534900,74
534900,6
534900,38
534900,75
534900,7
534900,9
534899,1
534899,2
534899,3
534899,4
534899,188
534899,12
534899,52
534899,74
534899,15
534899,75
534899,34
534899,98
534899,100
534899,21
534898,0
534898,1
534898,2
534898,3
534898,4
534898,47
534898,52
534898,74
534898,75
534898,34
534896,0
534896,1
534896,2
534896,3
534896,4
534896,10
534896,29
534896,43
534896,44
534896,74
